Company,ShoeURL,ShoeName,colorSize,TotalScore,TotalReviews,Discontinued,Terrain,Arch,Use,Price,Discount,ShoeWeight,ToeDrop,FootHeight,ReleaseDate,GoodSummary,BadSummary,Summary,RatingsText,USARanking,FiveStars,FourStars,ThreeStars,TwoStars,OneStars,ProdInfo,SizenFit,OuterSole,UpperSole
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salomon,https://runrepeat.com/salomon-speedcross-4-cs,Salomon Speedcross 4 CS,6,95,74,N,Trail,Neutral,Daily running,$145 ,$79 | 46%,9,10,20,,"Water-repellent upper coverage worked impressively in keeping the feet dry, according to some reviews.;A few number of runners high-appreciated the shoe’s superb grip on rough terrains.;Several runners found the Speedcross 4 CS durable.;Based on the observations of few runners, the shoe is comfortable to wear.;The shoe’s cushioning gained positive remarks from some runners.;The shoe is surprisingly lightweight, based on some comments.;One runner mentioned that the Speedcross 4 CS felt more secure than the older version.;",The Salomon Speedcross 4 CS is expensive.;Some runners noticed that the shoe is less breathable because of the anti-debris mesh.;One runner mentioned that the shoe was unstable due to high heel height.;,"The Salomon Speedcross 4 CS is a reliable trail running shoe that is designed for neutral foot movement. Comes with a water-repellent upper coverage, this shoe keeps the foot dry even on wet conditions. It offers great cushioning, breathability, and protection needed while running on technical trails.The Salomon Speedcross 4 CS is expensive.;Some runners noticed that the shoe is less breathable because of the anti-debris mesh.;One runner mentioned that the shoe was unstable due to high heel height.;",4.7 / 5 based on 74 ratings,"How popular is Salomon Speedcross 4 CS in United States? Load the map to learn more. The more popular, the darker the blue area. In United States it's the #230 most popular running shoes.",80%,15%,3%,1%,0%,The Salomon Speedcross 4 CS comes with an updated outsole. The fourth generation Speedcross lugs are more aggressive than the previous version. It digs in deep on soft surfaces and provides excellent traction on technical trails.;,The fit of the Speedcross 4 CS is very identical to the previous versions. The upper wraps the foot comfortably and securely. The padding in the right areas offers exceptional comfort for the foot. It runs true to size and it is available in medium widths for both men’s and women’s versions.,The outsole of the shoe uses the brand’s notable Wet Traction Contagrip that provides exceptional grip on wet and slippery surfaces. The 5mm aggressive lugs are designed to deliver maximum traction on wet and technical terrain.,"The Speedcross 4 CS features the ClimaShield membrane, a quick-drying material that keeps the foot cool and dry in wet conditions. This works well with the anti-debris mesh upper that keeps dirt and debris out while keeping the coverage breathable. Great protection against dirt is also maximized through the shoe’s mud guard system that fends off clay and mud while running on muddy trail."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puma,https://runrepeat.com/puma-ignite-evoknit,Puma Ignite EvoKNIT,12,95,102,N,Road,Neutral,Daily running,$130 ,$52 | 60%,,,,,"A majority of the reviews noted how it feels really good right out of the box the Ignite EvoKNIT is.;Several were highly-appreciative of the shoe’s excellent color combinations.;The latest upper design from Puma offers a sock-like fit like never before in its line.;Outsole durability is one of its best features, based on the comments of several runners.;The Puma Ignite EvoKNIT works well for gym workouts, according to a handful of users.;A handful of runners were impressed by the traction of this shoe, even in wet conditions.;Some reviewers were pleasantly surprised by the flexible sole.;The awesome style makes it a very popular casual or lifestyle shoe, according to a large number of reviewers.;There are several color options and combinations to choose from.;","The Puma EvoKNIT is quite expensive.;More than a few noted that it lacks the support they need as a running shoe.;It feels a bit sloppy, according to some runners.;There were others who badly wanted different width options.;","Puma jumps into the latest craze among shoe companies, which is the production of premium knit-like upper. In the Ignite EvoKNIT, runners are in for a shoe that tries to mix fashion and sports featuring an innovative mid-height upper that hugs the foot unlike previously provided by Puma. It has enough arch support, a surprisingly flexible ride, and tons of comfort for those looking for a stylish shoe that shines up to 10Ks.The Puma EvoKNIT is quite expensive.;More than a few noted that it lacks the support they need as a running shoe.;It feels a bit sloppy, according to some runners.;There were others who badly wanted different width options.;",4.7 / 5 based on 102 ratings,"How popular is Puma Ignite EvoKNIT in United States? Load the map to learn more. The more popular, the darker the blue area. In United States it's the #89 most popular running shoes.",75%,15%,6%,1%,0%,"Without a doubt, the star of the Puma Ignite EvoKNIT is the knit upper that Puma hopes can stand toe to toe with the best in the business where this type of upper design is concerned. The shoe offers a sock-like fit that reaches just above the ankle for an upper that thoroughly wraps the foot in comfort.;As the upper is almost entirely made of an EvoKNIT, Puma uses an ankle strap to secure this area. On top of this, there is a structured external heel counter to really lock the heel and provide security.;The hard-wearing sole gets a boost in flexibility, courtesy of the deep flex grooves. It also compensates for the rather thick midsole foam to prevent the ride from feeling too stiff.;",Puma designed the Ignite EvoKNIT for those with medium to slightly narrower feet. It has moderate wiggle room in the forefoot for a natural splay of the toes while the heel is supremely secured. The arch relies mostly on the stiffer fabric in the midfoot for support. It runs true to size.,"The outsole of the Puma Ignite EvoKNIT uses a large number of flex grooves all over the shoe for optimal flexibility for such a well-cushioned shoe. Besides the numerous horizontal flex grooves, there is also a huge vertical flex groove that spans the length of the outsole. The transition from heel to take-off is enhanced by the presence of this vertical flex groove. There is EverTrack, which is in color black in this shoe is utilized in high-wear areas for durability. A softer blown rubber is found in some of the areas for traction and a little bit of cushioning.","The totally seamless upper is mostly covered by Puma’s innovative EvoKNIT material. It has a sock-like fit that is luxurious in feel and comfort all the way to the collar. The upper is one-piece and quite stretchy that it can accommodate a variety of foot shapes. For structure and support, the Ignite EvoKNIT uses an external heel counter and an ankle strap. At the back of the collar is a heel loop for convenience."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adidas,https://runrepeat.com/adidas-adistar-boost-esm,Adidas Adistar Boost ESM,4,95,94,N,Road,Stability,Daily running,$170 ,$75 | 56%,11,11,17,,The flexible upper unit provide seamless support for the comfort of the runner.;Runners were satisfied with the shoe's external heel counter that improves fit on the rear area.;The color options for the Boost ESM were appreciated by those who want more aesthetic choices.;The boost™ mid-sole technology offers energy returns while also making sure that the foot is well-supported.;A significant number of runners applauded the cushioning system of the shoe that delivers a smooth and responsive ride.;Reviewers noted the efficacy of the outsole rubber in terms of traction.;,The Adistar Boost ESM is an expensive running shoe.;There were complaints that the mid-sole was a bit stiff and unresponsive.;Most were worried that the outsole was too thin to be as efficient on a long-term basis.;,The Adistar Boost ESM from Adidas is a running companion that testers generally enjoyed. The high quality materials that were used for the shoe work well. It’s a shoe that offers mild support in the mid-foot while being a reliable gear for neutral runners.The Adistar Boost ESM is an expensive running shoe.;There were complaints that the mid-sole was a bit stiff and unresponsive.;Most were worried that the outsole was too thin to be as efficient on a long-term basis.;,4.6 / 5 based on 94 ratings,"How popular is Adidas Adistar Boost ESM in United States? Load the map to learn more. The more popular, the darker the blue area. In United States it's the #191 most popular running shoes.",73%,5%,3%,0%,2%,"The Adidas Adistar Boost ESM is a running shoe that features the Techfit technology, which is a multi-sports compression design. This shoe is designed to provide runners with the right running shoe for mile after mile endeavor in full energy and support.;This shoe also features the Formotion Technology, which is an added joint that allows the foot to adapt to the surface of the ground, providing natural foot strike in a smooth transition.;The Boost Technology is also present with its boost foam of unique energy capsules that provide the springy cushioning for a more responsive ride in all comfort.;The outsole features the Continental rubber material, which offers excellent traction on wet or dry grounds. It allows the foot to have a better grip on grounds whatever the weather is.;",The Adidas Adistar Boost ESM is true to its size. It gives perfect and comfortable fit to medium-footed and narrow-footer runners. It is available in standard widths for both men and women.,The outsole of the Adistar Boost ESM comes with the AdiWear technology. This is a non-marking carbon rubber that provides not just the durability and protection but great traction as well. The Continental Rubber compound used is designed with the Zonemotion system for added flexibility and responsiveness even on wet grounds.,"The upper of the Adistar Boost ESM has an Open Mesh material. Breathability and comfort are both tackled well with this upper. The seamless sock-like fit is also provided through the TechFit technology, thus ensuring the snug fit, flexibility, and support."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
On,https://runrepeat.com/on-cloudflow,On Cloudflow,5,94,211,N,Road,Neutral,Competition,$140 ,$95 | 32%,,,,,"Many runners welcomed the On Cloudflow, stating that it performed well.;Several testers were thankful that this shoe was able to provide comfort to their feet.;Wearing this shoe for long periods of time didn’t cause any strain or discomfort to the muscles, according to those who have tried it.;A lot of consumers were satisfied that it was lightweight.;The design and the color schemes received some praise; there were runners who thought that it was visually appealing.;Some testers were confident about this shoe’s quality, commending its apparently robust material-construction.;The cushioning system was comfortable and responsive, conveyed a reviewer.;A runner stated that they were able to use the On Cloudflow for a variety of activities on the flat surfaces and they reported that it stayed agreeable throughout.;","A tester reported that rocks kept getting stuck in the crevices and holes of the sole unit, and that they were hard to get out.;The outsole wasn’t able to grip wet surfaces well, a reviewer wrote.;A runner noted that the rubber pattern below each cloud pod wore off quickly.;","The On Cloudflow gained some fans because of its efficacy and its agreeable design. Many runners welcomed its lightweight nature, its responsive cushioning systems, and its apparently cool aesthetics. There were close to no complaints when it comes to this neutral road shoe.A tester reported that rocks kept getting stuck in the crevices and holes of the sole unit, and that they were hard to get out.;The outsole wasn’t able to grip wet surfaces well, a reviewer wrote.;A runner noted that the rubber pattern below each cloud pod wore off quickly.;",4.7 / 5 based on 211 ratings,"How popular is On Cloudflow in United States? Load the map to learn more. The more popular, the darker the blue area. In United States it's the #135 most popular running shoes.",78%,9%,5%,2%,2%,"The On Cloudflow is a running shoe that’s created for those who want to have faster running outputs. Those with a natural foot-roll are the ones who are going to enjoy what this package has to offer. There are different colorways for both the men and women’s versions. They’re flashy, but not distracting to the eyes. Top-quality materials were used in this shoe.;The upper unit of this shoe features engineered mesh, which actually resembles woven cloth. It’s durable, supportive and it has an antimicrobial finish. Breathability is also at the top of its game because it accommodates the flow of environmental air into the foot-chamber. This model also has a built-in sock, which heightens the comfort felt by the foot. One can even wear it without putting on actual socks first.;The sole unit of the On Cloudflow utilizes the Zero-Gravity EVA foam, a lightweight material that’s responsive yet durable. The platform also takes a unique shape, which is visible outside the shoe: 18 semi-circular pods make up the rest of the cushioning system. Called ‘clouds’, they deliver responsible cushioning from the foot-strike to the toe-off.;Layered underneath the individual ‘clouds’ is a durable rubber material. It protects the foam material from the abrasive nature of the asphalt. A textured pattern ensures additional traction and surface control.;","The On Cloudflow runs a bit bigger than the standard, so it is recommended for runners to choose ½ size smaller in order to get a more relaxed fit. The available width for both the men and women’s versions is medium. It accommodates those with medium sized feet.","The outsole unit of the On Cloudflow uses the CloudTec rubber, which is a durable material that covers the cushioning ‘clouds’. It’s actually also responsive, so it adds a bit more cushioning to the runner and a bit of energy for the toe-off.","The upper unit of the On Cloudflow features engineered mesh. It’s a breathable material that has the feel of a woven cloth. It wraps around the foot securely, but it allows the runner to move as naturally as possible.
The perforated tongue permits additional airflow into the foot-chamber. It’s thin, but it doesn’t easily fold over itself."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salomon,https://runrepeat.com/salomon-kalalau,Salomon Kalalau,1,94,106,N,Trail,Neutral,Daily running,0,0,,,,,"Most of the runners admired the lightweight construction of the Salomon Kalalau.;The majority of the wearers were highly-appreciative of the shoe’s comfortable feel.;A good number of users liked the versatility of the Kalalau; they said it is also good for gym training, walking and as a casual shoe.;The shoe is easy to put on, based on some comments.;The Kalalau is affordable, according to some purchasers.;Several runners lauded the lacing system of the shoe, which they thought was easy to adjust.;The aesthetic design of the shoe gained positive feedback from a significant number of users.;The mesh material of the shoe’s upper unit is very breathable, said some testers.;Based on several comments, this shoe offered reliable traction while running on the trail.;",Some of the purchasers mentioned that this shoe ran half-a-size smaller than what they were used to.;A few wide-footed users said that the shoe was too tight for them.;,"The Salomon Kalalau is a breathable and lightweight shoe that is packed with innovative technologies needed for light trail running. This neutral running shoe generally received positive praises from some runners because of its design, functionality, and comfort.Some of the purchasers mentioned that this shoe ran half-a-size smaller than what they were used to.;A few wide-footed users said that the shoe was too tight for them.;",4.3 / 5 based on 106 ratings,"How popular is Salomon Kalalau in United States? Load the map to learn more. The more popular, the darker the blue area. In United States it's the #643 most popular running shoes.",58%,27%,6%,7%,3%,"The outsole of the Salomon Kalalau features the notable Contagrip™ Rubber. It is designed to deliver reliable traction and maximum durability in high-wear areas. This rubber material is specifically engineered for trail running.;The OS Tendon frames are wedged in the outsole. Made from durable thermoplastic urethane, they improve terrain adaptability and better heel-to-toe transition.;The full-length molded EVA foam is purposely used in the midsole for long-lasting cushioning and comfortable underfoot protection.;The shoe also features the Sensifit overlay system, which provides a secure and precise fit. It works perfectly with the EndoFit inner sleeve that is specifically engineered for maximum comfort and enhanced fit.;","The Salomon Kalalau has a standard running shoe length. For both the men and women’s versions, the available width is medium. The customary measurements in the heel, mid-foot, and forefoot offers a comfortable fit for runners with a medium foot-shape.",The Kalalau features the Non-marking Contagrip Rubber Outsole. Its job is to provide reliable traction while the runner is traversing varied surfaces. This outsole material is also durable.,"The upper of the Salomon Kalalau utilizes a lightweight, quick-drying mesh that offers maximum breathability all throughout the run. It keeps the foot well-ventilated, especially in warm conditions."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
